Rank,Block_name,Suspiciousness Value(Dstar4)
5,inpaint.cpp_for _545,0
5,inpaint.cpp_if_297,0
5,npr.hpp_compute_boxfilter_217,0
5,npr.cpp_edgePreservingFilter_53,0
5,npr.hpp_diffx_74,0
5,npr.hpp_diffy_89,0
5,npr.hpp_compute_Rfilter_173,0
5,npr.hpp_init_398,0
5,npr.hpp_filter_479,0
5,test_npr.cpp_TEST_53,0
5,npr.hpp_compute_NCfilter_308,0
5,inpaint.cpp_inpaint_844,0
5,test_npr.cpp_TEST_71,0
5,npr.cpp_detailEnhance_77,0
5,test_npr.cpp_TEST_89,0
5,npr.cpp_pencilSketch_124,0
5,npr.hpp_pencil_sketch_534,0
5,test_npr.cpp_TEST_106,0
5,npr.cpp_stylization_150,0
5,test_inpaint.cpp_run_64,0
5,inpaint.cpp_CV_Error_837,0
5,inpaint.cpp_for _547,0
5,inpaint.cpp_if _571,0
5,inpaint.cpp_if _549,0
5,inpaint.cpp_if _557,0
5,inpaint.cpp_if _558,0
5,inpaint.cpp_float)_561,0
5,inpaint.cpp_float)_564,0
5,inpaint.cpp_if _565,0
5,inpaint.cpp_float)_567,0
5,inpaint.cpp_if _572,0
5,inpaint.cpp_if _822,0
5,inpaint.cpp_float)_575,0
5,inpaint.cpp_float)_578,0
5,inpaint.cpp_if _579,0
5,inpaint.cpp_float)_581,0
5,inpaint.cpp_if _589,0
5,inpaint.cpp_if _591,0
5,inpaint.cpp_cvInpaint_734,0
5,inpaint.cpp_if_298,0
5,inpaint.cpp_ _296,0
5,test_hdr.cpp_loadExposureSeq_62,0
5,calibrate.cpp_w_60,0
5,merge.cpp_weight_308,0
5,merge.cpp_process_312,0
5,merge.cpp_if_330,0
5,merge.cpp_for_339,0
5,merge.cpp_process_351,0
5,merge.cpp_createMergeRobertson_363,0
5,test_hdr.cpp_TEST_206,0
5,calibrate.cpp_process_64,0
5,hdr_common.cpp_linearResponse_102,0
5,calibrate.cpp_if_89,0
5,calibrate.cpp_for_100,0
5,calibrate.cpp_for_101,0
5,calibrate.cpp_if_102,0
5,calibrate.cpp_for_117,0
5,calibrate.cpp_for_125,0
5,calibrate.cpp_for_126,0
5,hdr_common.cpp_for_104,0
5,hdr_common.cpp_for_81,0
5,calibrate.cpp_createCalibrateDebevec_198,0
5,merge.cpp_for_98,0
5,test_hdr.cpp_while_67,0
5,test_hdr.cpp_TEST_157,0
5,hdr_common.cpp_triangleWeights_63,0
5,hdr_common.cpp_for_67,0
5,merge.cpp_weights_56,0
5,merge.cpp_process_60,0
5,merge.cpp_if_80,0
5,merge.cpp_for_103,0
5,hdr_common.cpp_RobertsonWeights_74,0
5,merge.cpp_for_112,0
5,merge.cpp_for_118,0
5,merge.cpp_createMergeDebevec_138,0
5,test_hdr.cpp_loadResponseCSV_77,0
5,test_hdr.cpp_for_80,0
5,test_hdr.cpp_for_81,0
5,test_hdr.cpp_TEST_183,0
5,calibrate.cpp_for_142,0
5,test_hdr.cpp_TEST_226,0
5,inpaint.cpp_for_295,0
5,inpaint.cpp_if_257,0
5,inpaint.cpp_FastMarching_solve_217,0
5,inpaint.cpp_icvCalcFMM_243,0
5,inpaint.cpp_while _247,0
5,inpaint.cpp_for _252,0
5,inpaint.cpp_ _254,0
5,inpaint.cpp_if_255,0
5,inpaint.cpp_if_256,0
5,inpaint.cpp_if _260,0
5,inpaint.cpp_if _127,0
5,inpaint.cpp_if _272,0
5,inpaint.cpp_for _273,0
5,inpaint.cpp_for_274,0
5,inpaint.cpp_if _275,0
5,inpaint.cpp_icvTeleaInpaintFMM_286,0
5,inpaint.cpp_if _290,0
5,inpaint.cpp_while _292,0
5,inpaint.cpp_Push_135,0
5,inpaint.cpp_for _126,0
5,calibrate.cpp_weight_210,0
5,calibrate.cpp_for_255,0
5,calibrate.cpp_process_214,0
5,calibrate.cpp_for_234,0
5,calibrate.cpp_for_236,0
5,calibrate.cpp_for_237,0
5,calibrate.cpp_for_245,0
5,calibrate.cpp_for_251,0
5,calibrate.cpp_for_254,0
5,calibrate.cpp_for_261,0
5,inpaint.cpp_for _125,0
5,calibrate.cpp_for_263,0
5,calibrate.cpp_if_269,0
5,calibrate.cpp_createCalibrateRobertson_307,0
5,test_hdr.cpp_TEST_245,0
5,inpaint.cpp_Init_92,0
5,inpaint.cpp_for _109,0
5,inpaint.cpp_Add_123,0
5,merge.cpp_createMergeMertens_298,0
