Rank,Block_name,Suspiciousness Value(Dstar4)
1,test_math.cpp_get_rng_140,1
1,test_math.cpp_get_test_array_types_and_sizes_60,1
1,test_io.cpp_releaseAndGetString_588,1
1,test_io.cpp_ASSERT_STREQ_588,1
1,test_io.cpp_EXPECT_NO_THROW_586,1
1,test_io.cpp_EXPECT_NO_THROW_585,1
1,test_io.cpp_EXPECT_NO_THROW_584,1
1,persistence.cpp_CV_Error__6971,1
1,persistence.cpp_cv_isalpha_6969,1
1,test_math.cpp_ipow_243,1
1,test_math.cpp_abs_221,1
1,test_math.cpp_cvRound_221,1
1,test_math.cpp_channels_220,1
1,test_math.cpp_depth_219,1
1,test_math.cpp_cvPow_172,1
1,test_math.cpp_depth_158,1
1,test_math.cpp_fabs_158,1
1,test_math.cpp_cvRound_148,1
1,test_math.cpp_randInt_68,1
1,test_math.cpp_get_rng_101,1
1,test_math.cpp_randInt_102,1
1,test_math.cpp_randInt_103,1
1,test_math.cpp_randInt_140,1
1,test_math.cpp_cvRound_132,1
1,test_math.cpp_depth_130,1
1,test_math.cpp_randInt_124,1
1,test_math.cpp_randInt_110,1
1,test_math.cpp_get_test_array_types_and_sizes_105,1
1,test_io.cpp_c_str_588,1
1,test_math.cpp_CV_MAKETYPE_58,1
1,test_math.cpp_push_back_40,1
1,mathfuncs.cpp_max_1029,1
1,mathfuncs.cpp_cv_abs_1034,1
1,mathfuncs.cpp_:_1034,1
1,mathfuncs.cpp_cvarrToMat_1698,1
1,mathfuncs.cpp_CV_Assert_1699,1
1,mathfuncs.cpp_pow_1700,1
1,test_math.cpp_push_back_38,1
1,test_math.cpp_push_back_39,1
1,test_math.cpp_randInt_108,1
1,test_math.cpp_get_rng_56,1
1,test_math.cpp_randInt_58,1
1,test_math.cpp_randInt_57,1
18,test_arithm.cpp_Combine_1926,0,0392156862745098
18,test_arithm.cpp_OCL_OFF_1468,0,0392156862745098
18,test_arithm.cpp_generateTestData_1464,0,0392156862745098
18,test_arithm.cpp_Near_1450,0,0392156862745098
18,test_arithm.cpp_sqrt_1448,0,0392156862745098
18,test_arithm.cpp_OCL_ON_1448,0,0392156862745098
18,test_arithm.cpp_sqrt_1447,0,0392156862745098
18,test_arithm.cpp_OCL_OFF_1447,0,0392156862745098
18,test_arithm.cpp_generateTestData_1445,0,0392156862745098
18,trace.cpp_getTraceManagerCallOnce_907,0,0392156862745098
18,trace.cpp_CV_SINGLETON_LAZY_INIT_REF_907,0,0392156862745098
18,trace.cpp_gather_854,0,0392156862745098
18,trace.cpp_getTickCount_823,0,0392156862745098
18,trace.cpp_isActivated_429,0,0392156862745098
18,system.cpp_getIPPSingleton_2143,0,0392156862745098
18,system.cpp_get_2140,0,0392156862745098
18,system.cpp_getCoreTlsData_2140,0,0392156862745098
18,system.cpp_format_2129,0,0392156862745098
18,system.cpp_getIPPSingleton_2127,0,0392156862745098
18,system.cpp_getIPPSingleton_2076,0,0392156862745098
18,test_arithm.cpp_normalize_1468,0,0392156862745098
18,test_arithm.cpp_OCL_ON_1469,0,0392156862745098
18,test_arithm.cpp_normalize_1469,0,0392156862745098
18,test_arithm.cpp_Near_1675,0,0392156862745098
18,test_arithm.cpp_OCL_INSTANTIATE_TEST_CASE_P_1926,0,0392156862745098
18,test_arithm.cpp_Combine_1908,0,0392156862745098
18,test_arithm.cpp_OCL_INSTANTIATE_TEST_CASE_P_1908,0,0392156862745098
18,test_arithm.cpp_Values_1899,0,0392156862745098
18,test_arithm.cpp_Combine_1899,0,0392156862745098
18,test_arithm.cpp_Combine_1888,0,0392156862745098
18,test_arithm.cpp_OCL_INSTANTIATE_TEST_CASE_P_1888,0,0392156862745098
18,test_arithm.cpp_CV_MAKE_TYPE_1714,0,0392156862745098
18,test_arithm.cpp_GET_PARAM_1631,0,0392156862745098
18,test_arithm.cpp_PARAM_TEST_CASE_1478,0,0392156862745098
18,test_arithm.cpp_randomSubMat_1584,0,0392156862745098
18,test_arithm.cpp_GET_PARAM_1574,0,0392156862745098
18,test_arithm.cpp_GET_PARAM_1494,0,0392156862745098
18,test_arithm.cpp_SetUp_1490,0,0392156862745098
18,test_arithm.cpp_TEST_DECLARE_OUTPUT_PARAMETER_1488,0,0392156862745098
18,test_arithm.cpp_TEST_DECLARE_INPUT_PARAMETER_1487,0,0392156862745098
18,test_arithm.cpp_TEST_DECLARE_INPUT_PARAMETER_1486,0,0392156862745098
18,test_arithm.cpp_TEST_DECLARE_INPUT_PARAMETER_1485,0,0392156862745098
18,test_eigen.cpp_TEST_398,0,0392156862745098
18,test_math.cpp_TEST_2752,0,0392156862745098
18,test_eigen.cpp_TEST_399,0,0392156862745098
18,test_math.cpp_TEST_2754,0,0392156862745098
18,test_math.cpp_TEST_2753,0,0392156862745098
18,test_math.cpp_safe_run_2752,0,0392156862745098
18,system.cpp_CV_SINGLETON_LAZY_INIT_REF_2062,0,0392156862745098
18,test_math.cpp_safe_run_2751,0,0392156862745098
18,test_math.cpp_TEST_2751,0,0392156862745098
18,test_math.cpp_safe_run_2750,0,0392156862745098
18,test_math.cpp_TEST_2750,0,0392156862745098
18,test_math.cpp_safe_run_2749,0,0392156862745098
18,test_math.cpp_TEST_2749,0,0392156862745098
18,test_math.cpp_safe_run_2748,0,0392156862745098
18,test_math.cpp_TEST_2748,0,0392156862745098
18,test_math.cpp_safe_run_2747,0,0392156862745098
18,test_math.cpp_TEST_2747,0,0392156862745098
18,test_math.cpp_safe_run_2746,0,0392156862745098
18,test_math.cpp_TEST_2746,0,0392156862745098
18,test_math.cpp_safe_run_2745,0,0392156862745098
18,test_math.cpp_TEST_2745,0,0392156862745098
18,test_math.cpp_safe_run_2744,0,0392156862745098
18,test_math.cpp_TEST_2744,0,0392156862745098
18,test_math.cpp_safe_run_2753,0,0392156862745098
18,test_math.cpp_safe_run_2754,0,0392156862745098
18,test_eigen.cpp_safe_run_399,0,0392156862745098
18,test_math.cpp_TEST_2755,0,0392156862745098
18,test_umat.cpp_safe_run_884,0,0392156862745098
18,test_umat.cpp_TEST_884,0,0392156862745098
18,test_rotatedrect.cpp_safe_run_107,0,0392156862745098
18,test_rotatedrect.cpp_TEST_107,0,0392156862745098
18,test_rand.cpp_safe_run_340,0,0392156862745098
18,test_rand.cpp_TEST_340,0,0392156862745098
18,test_rand.cpp_safe_run_305,0,0392156862745098
18,test_rand.cpp_TEST_305,0,0392156862745098
18,test_operations.cpp_safe_run_1235,0,0392156862745098
18,test_operations.cpp_TEST_1235,0,0392156862745098
18,test_operations.cpp_safe_run_1146,0,0392156862745098
18,test_operations.cpp_TEST_1146,0,0392156862745098
18,test_math.cpp_safe_run_2902,0,0392156862745098
18,test_math.cpp_TEST_2902,0,0392156862745098
18,test_math.cpp_safe_run_2757,0,0392156862745098
18,test_math.cpp_TEST_2757,0,0392156862745098
18,test_math.cpp_safe_run_2756,0,0392156862745098
18,test_math.cpp_TEST_2756,0,0392156862745098
18,test_math.cpp_safe_run_2755,0,0392156862745098
18,test_math.cpp_safe_run_2743,0,0392156862745098
18,test_math.cpp_TEST_2743,0,0392156862745098
18,test_math.cpp_safe_run_2742,0,0392156862745098
18,test_math.cpp_TEST_2742,0,0392156862745098
18,test_io.cpp_TEST_388,0,0392156862745098
18,test_intrin.cpp_TEST_220,0,0392156862745098
18,test_intrin.cpp_TEST_196,0,0392156862745098
18,test_intrin.cpp_TEST_183,0,0392156862745098
18,test_intrin.cpp_TEST_172,0,0392156862745098
18,test_intrin.cpp_TEST_144,0,0392156862745098
18,test_intrin.cpp_TEST_119,0,0392156862745098
18,test_intrin.cpp_TEST_90,0,0392156862745098
18,test_intrin.cpp_TEST_64,0,0392156862745098
18,test_intrin.cpp_TEST_40,0,0392156862745098
18,test_intrin.cpp_TEST_18,0,0392156862745098
18,test_eigen.cpp_TEST_520,0,0392156862745098
18,test_eigen.cpp_TEST_519,0,0392156862745098
18,test_eigen.cpp_TEST_502,0,0392156862745098
18,test_eigen.cpp_TEST_501,0,0392156862745098
18,test_eigen.cpp_TEST_487,0,0392156862745098
18,test_eigen.cpp_TEST_486,0,0392156862745098
18,test_eigen.cpp_TEST_466,0,0392156862745098
18,test_eigen.cpp_TEST_465,0,0392156862745098
18,test_io.cpp_safe_run_388,0,0392156862745098
18,test_io.cpp_TEST_523,0,0392156862745098
18,test_io.cpp_safe_run_523,0,0392156862745098
18,test_mat.cpp_safe_run_1163,0,0392156862745098
18,test_math.cpp_safe_run_2741,0,0392156862745098
18,test_math.cpp_TEST_2741,0,0392156862745098
18,test_math.cpp_safe_run_2740,0,0392156862745098
18,test_math.cpp_TEST_2740,0,0392156862745098
18,test_math.cpp_safe_run_2739,0,0392156862745098
18,test_math.cpp_TEST_2739,0,0392156862745098
18,test_mat.cpp_safe_run_1164,0,0392156862745098
18,test_mat.cpp_TEST_1164,0,0392156862745098
18,test_mat.cpp_TEST_1163,0,0392156862745098
18,test_lpsolver.cpp_TEST_44,0,0392156862745098
18,test_mat.cpp_safe_run_1161,0,0392156862745098
18,test_mat.cpp_TEST_1161,0,0392156862745098
18,test_mat.cpp_safe_run_1160,0,0392156862745098
18,test_mat.cpp_TEST_1160,0,0392156862745098
18,test_lpsolver.cpp_TEST_126,0,0392156862745098
18,test_lpsolver.cpp_TEST_109,0,0392156862745098
18,test_lpsolver.cpp_TEST_96,0,0392156862745098
18,test_lpsolver.cpp_TEST_81,0,0392156862745098
18,system.cpp_IPPInitSingleton_2062,0,0392156862745098
18,cvstd.hpp_min_582,0,0392156862745098
18,system.cpp_getenv_1658,0,0392156862745098
18,ocl.cpp_isExtensionSupported_1231,0,0392156862745098
18,ocl.cpp_getBoolProp_1207,0,0392156862745098
18,ocl.cpp_getStrProp_1211,0,0392156862745098
18,ocl.cpp_getStrProp_1214,0,0392156862745098
18,ocl.cpp_parseDeviceVersion_1215,0,0392156862745098
18,ocl.cpp_find_1220,0,0392156862745098
18,ocl.cpp_substr_1225,0,0392156862745098
18,ocl.cpp_insert_1226,0,0392156862745098
18,ocl.cpp_getStrProp_1233,0,0392156862745098
18,system.cpp_getenv_1628,0,0392156862745098
18,ocl.cpp_Intel_1237,0,0392156862745098
18,ocl.cpp_strstr_1237,0,0392156862745098
18,ocl.cpp_c_str_1237,0,0392156862745098
18,ocl.cpp_clGetDeviceInfo_1279,0,0392156862745098
18,ocl.cpp_release_1345,0,0392156862745098
18,ocl.cpp_release_1351,0,0392156862745098
18,ocl.cpp_Impl_1352,0,0392156862745098
18,ocl.cpp_getStrProp_1205,0,0392156862745098
18,ocl.cpp_getStrProp_1204,0,0392156862745098
18,ocl.cpp_getStrProp_1203,0,0392156862745098
18,ocl.cpp_c_str_1193,0,0392156862745098
18,ocl.cpp_clGetPlatformIDs_861,0,0392156862745098
18,ocl.cpp_getCoreTlsData_878,0,0392156862745098
18,ocl.cpp_get_878,0,0392156862745098
18,ocl.cpp_haveOpenCL_883,0,0392156862745098
18,ocl.cpp_getDefault_883,0,0392156862745098
18,ocl.cpp_available_883,0,0392156862745098
18,ocl.cpp_length_1182,0,0392156862745098
18,ocl.cpp_c_str_1184,0,0392156862745098
18,ocl.cpp_strncmp_1185,0,0392156862745098
18,ocl.cpp_find_1187,0,0392156862745098
18,ocl.cpp_substr_1190,0,0392156862745098
18,ocl.cpp_atoi_1191,0,0392156862745098
18,ocl.cpp_c_str_1191,0,0392156862745098
18,ocl.cpp_substr_1192,0,0392156862745098
18,ocl.cpp_atoi_1193,0,0392156862745098
18,ocl.cpp_String_1361,0,0392156862745098
18,ocl.cpp_String_1370,0,0392156862745098
18,ocl.cpp_haveOpenCL_2358,0,0392156862745098
18,ocl.cpp___init_1948,0,0392156862745098
18,ocl.cpp_begin_1781,0,0392156862745098
18,ocl.cpp_clGetDeviceIDs_1803,0,0392156862745098
18,ocl.cpp_resize_1811,0,0392156862745098
18,ocl.cpp_clGetDeviceIDs_1812,0,0392156862745098
18,ocl.cpp_CV_OCL_DBG_CHECK_1824,0,0392156862745098
18,ocl.cpp_getStringInfo_1824,0,0392156862745098
18,ocl.cpp_find_1832,0,0392156862745098
18,ocl.cpp_CV_Assert_1953,0,0392156862745098
18,ocl.cpp_String_1391,0,0392156862745098
18,ocl.cpp_selectOpenCLDevice_1955,0,0392156862745098
18,ocl.cpp_CV_OCL_DBG_CHECK_1961,0,0392156862745098
18,ocl.cpp_clGetDeviceInfo_1961,0,0392156862745098
18,ocl.cpp_clCreateContext_1973,0,0392156862745098
18,ocl.cpp_CV_OCL_DBG_CHECK_RESULT_1974,0,0392156862745098
18,ocl.cpp_resize_1979,0,0392156862745098
18,ocl.cpp_set_1980,0,0392156862745098
18,ocl.cpp_transform_1781,0,0392156862745098
18,ocl.cpp_push_back_1770,0,0392156862745098
18,ocl.cpp_length_1748,0,0392156862745098
18,ocl.cpp_resize_1744,0,0392156862745098
18,ocl.cpp_getBoolProp_1400,0,0392156862745098
18,ocl.cpp_getDefault_1615,0,0392156862745098
18,ocl.cpp_getCoreTlsData_1616,0,0392156862745098
18,ocl.cpp_get_1616,0,0392156862745098
18,ocl.cpp_device_1617,0,0392156862745098
18,ocl.cpp_clear_1631,0,0392156862745098
18,ocl.cpp_buf_1634,0,0392156862745098
18,ocl.cpp_tolower_1695,0,0392156862745098
18,ocl.cpp_getenv_1702,0,0392156862745098
18,ocl.cpp_length_1711,0,0392156862745098
18,ocl.cpp_CV_OCL_DBG_CHECK_1738,0,0392156862745098
18,ocl.cpp_clGetPlatformIDs_1738,0,0392156862745098
18,ocl.cpp_resize_1742,0,0392156862745098
18,ocl.cpp_CV_OCL_DBG_CHECK_1743,0,0392156862745098
18,ocl.cpp_clGetPlatformIDs_1743,0,0392156862745098
18,ocl.cpp_CV_LOG_INFO_857,0,0392156862745098
18,ocl.cpp_getenv_848,0,0392156862745098
18,ocl.cpp_CV_TRACE_REGION_847,0,0392156862745098
18,command_line_parser.cpp_length_12,0,0392156862745098
18,utility.hpp_TLSData_698,0,0392156862745098
18,utility.hpp_createDataInstance_713,0,0392156862745098
18,alloc.cpp_malloc_75,0,0392156862745098
18,alloc.cpp_alignPtr_78,0,0392156862745098
18,alloc.cpp_free_94,0,0392156862745098
18,alloc.cpp_fastMalloc_103,0,0392156862745098
18,alloc.cpp_fastFree_108,0,0392156862745098
18,command_line_parser.cpp_String_17,0,0392156862745098
18,ocl.cpp_CV_TRACE_FUNCTION_840,0,0392156862745098
18,command_line_parser.cpp_substr_17,0,0392156862745098
18,command_line_parser.cpp_tolower_75,0,0392156862745098
18,command_line_parser.cpp_transform_79,0,0392156862745098
18,command_line_parser.cpp_begin_79,0,0392156862745098
18,command_line_parser.cpp_c_str_88,0,0392156862745098
18,command_line_parser.cpp_parse_bool_95,0,0392156862745098
18,command_line_parser.cpp_fail_110,0,0392156862745098
18,ptr.inl.hpp_release_156,0,0392156862745098
18,ptr.inl.hpp_deleter_99,0,0392156862745098
18,mat.inl.hpp_CV_XADD_803,0,0392156862745098
18,cvstd.inl.hpp_string_120,0,0392156862745098
18,cvstd.hpp_min_583,0,0392156862745098
18,cvstd.hpp_memcpy_592,0,0392156862745098
18,cvstd.hpp_allocate_592,0,0392156862745098
18,cvstd.hpp_strlen_600,0,0392156862745098
18,cvstd.hpp_memcpy_602,0,0392156862745098
18,cvstd.hpp_allocate_602,0,0392156862745098
18,cvstd.hpp_String_780,0,0392156862745098
18,cvstd.hpp_find_800,0,0392156862745098
18,cvstd.hpp_allocate_962,0,0392156862745098
18,cvstd.hpp_memcpy_963,0,0392156862745098
18,cvstd.hpp_memcpy_964,0,0392156862745098
18,cvstd.hpp_allocate_994,0,0392156862745098
18,cvstd.hpp_memcpy_995,0,0392156862745098
18,cvstd.hpp_allocate_1004,0,0392156862745098
18,cvstd.hpp_memcpy_1006,0,0392156862745098
18,command_line_parser.cpp_cat_string_128,0,0392156862745098
18,command_line_parser.cpp_empty_131,0,0392156862745098
18,command_line_parser.cpp_from_str_137,0,0392156862745098
18,command_line_parser.cpp_begin_338,0,0392156862745098
18,command_line_parser.cpp_substr_474,0,0392156862745098
18,command_line_parser.cpp_length_474,0,0392156862745098
18,command_line_parser.cpp_push_back_493,0,0392156862745098
18,command_line_parser.cpp_substr_500,0,0392156862745098
18,command_line_parser.cpp_length_500,0,0392156862745098
18,command_line_parser.cpp_empty_525,0,0392156862745098
18,command_line_parser.cpp_empty_529,0,0392156862745098
18,command_line_parser.cpp_push_back_531,0,0392156862745098
18,command_line_parser.cpp_substr_539,0,0392156862745098
18,command_line_parser.cpp_length_539,0,0392156862745098
18,command_line_parser.cpp_push_back_544,0,0392156862745098
18,logger.cpp_getConfigurationParameterString_20,0,0392156862745098
18,logger.cpp_parseLogLevelConfiguration_44,0,0392156862745098
18,logger.cpp_getLogLevelVariable_57,0,0392156862745098
18,logger.cpp_utils_64,0,0392156862745098
18,command_line_parser.cpp_empty_455,0,0392156862745098
18,command_line_parser.cpp_sort_338,0,0392156862745098
18,command_line_parser.cpp_compare_192,0,0392156862745098
18,command_line_parser.cpp_begin_335,0,0392156862745098
18,command_line_parser.cpp_String_201,0,0392156862745098
18,command_line_parser.cpp_find_last_of_201,0,0392156862745098
18,command_line_parser.cpp_String_209,0,0392156862745098
18,command_line_parser.cpp_substr_209,0,0392156862745098
18,command_line_parser.cpp_String_210,0,0392156862745098
18,command_line_parser.cpp_substr_210,0,0392156862745098
18,command_line_parser.cpp_length_210,0,0392156862745098
18,command_line_parser.cpp_split_range_string_217,0,0392156862745098
18,command_line_parser.cpp_split_string_222,0,0392156862745098
18,command_line_parser.cpp_split_string_224,0,0392156862745098
18,command_line_parser.cpp_cat_string_226,0,0392156862745098
18,command_line_parser.cpp_push_back_241,0,0392156862745098
18,command_line_parser.cpp_sort_params_272,0,0392156862745098
18,command_line_parser.cpp_CV_XADD_277,0,0392156862745098
18,command_line_parser.cpp_sort_335,0,0392156862745098
18,ocl.cpp_Context_2357,0,0392156862745098
18,ocl.cpp_String_1364,0,0392156862745098
18,ocl.cpp_Impl_2361,0,0392156862745098
18,system.cpp__xgetbv_430,0,0392156862745098
18,system.cpp_readSettings_546,0,0392156862745098
18,ocl.cpp_setDefault_2369,0,0392156862745098
18,system.cpp_QueryPerformanceCounter_685,0,0392156862745098
18,system.cpp_va_start_804,0,0392156862745098
18,system.cpp_cv_vsnprintf_806,0,0392156862745098
18,system.cpp_CV_Assert_809,0,0392156862745098
18,system.cpp_String_816,0,0392156862745098
18,system.cpp__vsnprintf_s_920,0,0392156862745098
18,system.cpp_CV_XADD_1208,0,0392156862745098
18,system.cpp_lock_1231,0,0392156862745098
18,system.cpp_unlock_1232,0,0392156862745098
18,system.cpp_TlsAlloc_1282,0,0392156862745098
18,system.cpp_CV_Assert_1283,0,0392156862745098
18,system.cpp_CV_Assert_1295,0,0392156862745098
18,system.cpp_TlsSetValue_1295,0,0392156862745098
18,system.cpp_reserve_1323,0,0392156862745098
18,system.cpp_reserve_1337,0,0392156862745098
