Rank,Block_name,Suspiciousness Value(Dstar4)
1,test_math.cpp_randInt_rng_68,1
1,test_math.cpp_cvRound_power_148,1
1,test_math.cpp_randInt_ts_get_rng_140,1
1,test_math.cpp_cvRound_power_132,1
1,test_math.cpp_depth_130,1
1,test_math.cpp_randInt_rng_124,1
1,test_math.cpp_randInt_rng_108,1
1,test_math.cpp_get_test_array_types_and_sizes_test_case_idx_sizes_types_105,1
1,test_math.cpp_randInt_rng_103,1
1,test_math.cpp_randInt_rng_102,1
1,test_math.cpp_get_rng_101,1
1,test_math.cpp_get_test_array_types_and_sizes_test_case_idx_sizes_types_60,1
1,test_math.cpp_CV_MAKETYPE_depth_cn_58,1
1,test_math.cpp_randInt_rng_58,1
1,test_math.cpp_randInt_rng_57,1
1,test_math.cpp_get_rng_56,1
1,test_math.cpp_push_back_NULL_40,1
1,test_math.cpp_push_back_NULL_39,1
1,test_math.cpp_push_back_NULL_38,1
1,mathfuncs.cpp_pow_src_power_dst_1700,1
1,mathfuncs.cpp_CV_Assert_src_type_dst_type_src_size_dst_size_1699,1
1,mathfuncs.cpp_cvarrToMat_dstarr_1698,1
1,mathfuncs.cpp_cvarrToMat_srcarr_1698,1
1,mathfuncs.cpp_:_T_1034,1
1,mathfuncs.cpp_cv_abs_val_1034,1
1,test_math.cpp_get_rng_140,1
1,test_math.cpp_randInt_rng_110,1
1,test_math.cpp_fabs_power_158,1
1,matrix.cpp_allocate_bufferSize_4512,1
1,test_operations.cpp_norm_expected_result_NORM_INF_1386,1
1,test_operations.cpp_EXPECT_EQ_cvtest_norm_expected_result_NORM_INF_1386,1
1,test_operations.cpp_ASSERT_EQ_expected_size_result_size_1385,1
1,test_operations.cpp_col_1380,1
1,test_operations.cpp_sortIdx_src_col_result_CV_SORT_EVERY_COLUMN_CV_SORT_ASCENDING_1380,1
1,out.cpp_sprintf_buf_d_mtx_ptr_int_row_col_cn_77,1
1,out.cpp_valueToStr32s_77,1
1,test_math.cpp_depth_158,1
1,matrix.cpp_reshape_dstSub_rows_4523,1
1,matrix.cpp_CV_INSTRUMENT_FUN_IPP_ippsSortRadixIndex_void_src_ptr_i_pixStride_Ipp32s_dstRow_ptr_src_rows_buffer_4520,1
1,matrix.cpp_Mat_dst_subRect_4518,1
1,matrix.cpp_copyTo_dstSub_4524,1
1,matrix.cpp_ippsSortRadixIndexGetBufferSize_src_rows_type_bufferSize_4509,1
1,matrix.cpp_subRect_src_rows_4505,1
1,test_math.cpp_cvPow_test_array_INPUT_test_array_OUTPUT_power_172,1
1,test_math.cpp_depth_219,1
1,test_math.cpp_channels_220,1
1,test_math.cpp_cvRound_power_221,1
1,test_math.cpp_abs_ipower_221,1
1,test_math.cpp_ipow_val_ipower_243,1
1,matrix.cpp_dstRow_dst_rows_dst_type_4503,1
1,mathfuncs.cpp_max_1029,1
26,test_concatenation.cpp_safe_run_145,0,0392156862745098
26,test_ds.cpp_TEST_Core_DS_Graph_scan_2132,0,0392156862745098
26,test_dxt.cpp_safe_run_891,0,0392156862745098
26,test_dxt.cpp_TEST_Core_DCT_accuracy_854,0,0392156862745098
26,test_dxt.cpp_safe_run_854,0,0392156862745098
26,test_eigen.cpp_TEST_Core_Eigen_vector_64_399,0,0392156862745098
26,test_concatenation.cpp_TEST_Core_Concatenation_vconcat_empty_nonempty_145,0,0392156862745098
26,test_eigen.cpp_safe_run_398,0,0392156862745098
26,test_eigen.cpp_TEST_Core_Eigen_vector_32_398,0,0392156862745098
26,test_eigen.cpp_safe_run_397,0,0392156862745098
26,test_eigen.cpp_TEST_Core_Eigen_scalar_64_397,0,0392156862745098
26,test_eigen.cpp_safe_run_396,0,0392156862745098
26,test_eigen.cpp_TEST_Core_Eigen_scalar_32_396,0,0392156862745098
26,test_dxt.cpp_safe_run_988,0,0392156862745098
26,test_dxt.cpp_test_Core_DXTReverseTest_ModeDCT_988,0,0392156862745098
26,test_dxt.cpp_TEST_Core_DCT_reverse_988,0,0392156862745098
26,test_dxt.cpp_safe_run_987,0,0392156862745098
26,test_dxt.cpp_test_Core_DXTReverseTest_ModeDFT_987,0,0392156862745098
26,test_dxt.cpp_TEST_Core_DFT_reverse_987,0,0392156862745098
26,test_dxt.cpp_TEST_Core_DFT_complex_output_891,0,0392156862745098
26,test_dxt.cpp_safe_run_856,0,0392156862745098
26,test_dxt.cpp_TEST_Core_MulSpectrums_accuracy_856,0,0392156862745098
26,test_dxt.cpp_safe_run_855,0,0392156862745098
26,test_dxt.cpp_TEST_Core_DFT_accuracy_855,0,0392156862745098
26,test_concatenation.cpp_test_false_true_false_145,0,0392156862745098
26,cvstd.hpp_min_pos_str_len__582,0,0392156862745098
26,test_concatenation.cpp_safe_run_143,0,0392156862745098
26,test_concatenation.cpp_test_true_true_true_143,0,0392156862745098
26,test_arithm.cpp_randomSubMat_src_src_roi_roiSize_srcBorder_stype_1584,0,0392156862745098
26,test_arithm.cpp_GET_PARAM_1574,0,0392156862745098
26,test_arithm.cpp_GET_PARAM_1494,0,0392156862745098
26,test_arithm.cpp_SetUp_1490,0,0392156862745098
26,test_arithm.cpp_TEST_DECLARE_OUTPUT_PARAMETER_dst_1488,0,0392156862745098
26,test_arithm.cpp_TEST_DECLARE_INPUT_PARAMETER_src3_1487,0,0392156862745098
26,test_arithm.cpp_TEST_DECLARE_INPUT_PARAMETER_src2_1486,0,0392156862745098
26,test_arithm.cpp_TEST_DECLARE_INPUT_PARAMETER_src1_1485,0,0392156862745098
26,test_arithm.cpp_PARAM_TEST_CASE_InRange_MatDepth_Channels_bool_bool_1478,0,0392156862745098
26,test_arithm.cpp_normalize_usrc1_roi_udst1_roi_modes_i_src1_roi_type_umask_roi_1469,0,0392156862745098
26,test_arithm.cpp_OCL_ON_cv_normalize_usrc1_roi_udst1_roi_modes_i_src1_roi_type_umask_roi_1469,0,0392156862745098
26,test_arithm.cpp_normalize_src1_roi_dst1_roi_modes_i_src1_roi_type_mask_roi_1468,0,0392156862745098
26,test_arithm.cpp_OCL_OFF_cv_normalize_src1_roi_dst1_roi_modes_i_src1_roi_type_mask_roi_1468,0,0392156862745098
26,test_arithm.cpp_generateTestData_1464,0,0392156862745098
26,test_arithm.cpp_Near_1450,0,0392156862745098
26,test_arithm.cpp_sqrt_usrc1_roi_udst1_roi_1448,0,0392156862745098
26,test_arithm.cpp_OCL_ON_cv_sqrt_usrc1_roi_udst1_roi_1448,0,0392156862745098
26,test_arithm.cpp_sqrt_src1_roi_dst1_roi_1447,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenSymmetric_float3x3_465,0,0392156862745098
26,test_arithm.cpp_GET_PARAM_1631,0,0392156862745098
26,test_arithm.cpp_Near_1675,0,0392156862745098
26,test_arithm.cpp_CV_MAKE_TYPE_CV_32F_cn_1714,0,0392156862745098
26,test_arithm.cpp_Values_std_make_pair_MatDepth_MatDepth_CV_8U_CV_32S_1926,0,0392156862745098
26,test_concatenation.cpp_TEST_Core_Concatenation_hconcat_empty_empty_143,0,0392156862745098
26,test_concatenation.cpp_safe_run_142,0,0392156862745098
26,test_concatenation.cpp_test_true_false_true_142,0,0392156862745098
26,test_concatenation.cpp_TEST_Core_Concatenation_hconcat_nonempty_empty_142,0,0392156862745098
26,test_concatenation.cpp_safe_run_141,0,0392156862745098
26,test_concatenation.cpp_test_true_true_false_141,0,0392156862745098
26,test_concatenation.cpp_TEST_Core_Concatenation_hconcat_empty_nonempty_141,0,0392156862745098
26,test_arithm.cpp_Values_1936,0,0392156862745098
26,test_arithm.cpp_Combine_testing_Values_std_make_pair_MatDepth_MatDepth_CV_8U_CV_32S_1926,0,0392156862745098
26,test_arithm.cpp_GET_PARAM_1787,0,0392156862745098
26,test_arithm.cpp_OCL_INSTANTIATE_TEST_CASE_P_Arithm_ReduceAvg_Combine_testing_Values_std_make_pair_MatDepth_MatDepth_CV_8U_CV_32S_1926,0,0392156862745098
26,test_arithm.cpp_Combine_OCL_ALL_DEPTHS_OCL_ALL_CHANNELS_Bool_1908,0,0392156862745098
26,test_arithm.cpp_OCL_INSTANTIATE_TEST_CASE_P_Arithm_ConvertScaleAbs_Combine_OCL_ALL_DEPTHS_OCL_ALL_CHANNELS_Bool_1908,0,0392156862745098
26,test_arithm.cpp_Values_CV_32F_CV_64F_1899,0,0392156862745098
26,test_arithm.cpp_Combine_testing_Values_CV_32F_CV_64F_OCL_ALL_CHANNELS_Bool_1899,0,0392156862745098
26,test_arithm.cpp_OCL_INSTANTIATE_TEST_CASE_P_Arithm_Phase_Combine_testing_Values_CV_32F_CV_64F_OCL_ALL_CHANNELS_Bool_1899,0,0392156862745098
26,test_arithm.cpp_Combine_OCL_ALL_DEPTHS_OCL_ALL_CHANNELS_Bool_1888,0,0392156862745098
26,test_arithm.cpp_OCL_INSTANTIATE_TEST_CASE_P_Arithm_Bitwise_or_Combine_OCL_ALL_DEPTHS_OCL_ALL_CHANNELS_Bool_1888,0,0392156862745098
26,test_eigen.cpp_safe_run_399,0,0392156862745098
26,test_math.cpp_TEST_Core_Phase_accuracy64f_2757,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenSymmetric_double3x3_466,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenSymmetric_float5x5_486,0,0392156862745098
26,test_math.cpp_TEST_Core_Trace_accuracy_2754,0,0392156862745098
26,test_math.cpp_safe_run_2753,0,0392156862745098
26,test_math.cpp_TEST_Core_SVBkSb_accuracy_2753,0,0392156862745098
26,test_math.cpp_safe_run_2752,0,0392156862745098
26,test_math.cpp_TEST_Core_SVD_accuracy_2752,0,0392156862745098
26,test_math.cpp_safe_run_2751,0,0392156862745098
26,test_math.cpp_TEST_Core_SolveLinearSystem_accuracy_2751,0,0392156862745098
26,test_math.cpp_safe_run_2750,0,0392156862745098
26,test_math.cpp_TEST_Core_Pow_accuracy_2750,0,0392156862745098
26,test_math.cpp_safe_run_2749,0,0392156862745098
26,test_math.cpp_TEST_Core_PerspectiveTransform_accuracy_2749,0,0392156862745098
26,test_math.cpp_safe_run_2748,0,0392156862745098
26,test_math.cpp_TEST_Core_TransformLarge_accuracy_2748,0,0392156862745098
26,test_math.cpp_safe_run_2747,0,0392156862745098
26,test_math.cpp_TEST_Core_Transform_accuracy_2747,0,0392156862745098
26,test_math.cpp_safe_run_2746,0,0392156862745098
26,test_math.cpp_TEST_Core_MulTransposed_accuracy_2746,0,0392156862745098
26,test_math.cpp_safe_run_2745,0,0392156862745098
26,test_math.cpp_TEST_Core_Mahalanobis_accuracy_2745,0,0392156862745098
26,test_math.cpp_safe_run_2754,0,0392156862745098
26,test_math.cpp_TEST_Core_SolvePoly_accuracy_2755,0,0392156862745098
26,test_math.cpp_safe_run_2755,0,0392156862745098
26,test_operations.cpp_TEST_Core_SparseMat_iterations_1235,0,0392156862745098
26,test_umat.cpp_safe_run_884,0,0392156862745098
26,test_umat.cpp_TEST_Core_UMat_base_884,0,0392156862745098
26,test_rotatedrect.cpp_safe_run_107,0,0392156862745098
26,test_rotatedrect.cpp_TEST_Core_RotatedRect_three_point_constructor_107,0,0392156862745098
26,test_rand.cpp_safe_run_340,0,0392156862745098
26,test_rand.cpp_TEST_Core_Rand_range_340,0,0392156862745098
26,test_rand.cpp_safe_run_305,0,0392156862745098
26,test_operations.cpp_safe_run_1235,0,0392156862745098
26,test_operations.cpp_safe_run_1146,0,0392156862745098
26,test_math.cpp_TEST_Core_Phase_accuracy32f_2756,0,0392156862745098
26,test_operations.cpp_TEST_Core_Array_expressions_1146,0,0392156862745098
26,test_math.cpp_safe_run_MAT_N_DIM_C1_2902,0,0392156862745098
26,test_math.cpp_TEST_Core_KMeans_singular_2902,0,0392156862745098
26,test_math.cpp_safe_run_2757,0,0392156862745098
26,test_math.cpp_test_CV_64FC1_2757,0,0392156862745098
26,test_arithm.cpp_generateTestData_1445,0,0392156862745098
26,test_math.cpp_safe_run_2756,0,0392156862745098
26,test_math.cpp_test_CV_32FC1_2756,0,0392156862745098
26,test_math.cpp_safe_run_2744,0,0392156862745098
26,test_math.cpp_TEST_Core_Invert_accuracy_2744,0,0392156862745098
26,test_math.cpp_safe_run_2743,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_uint32x4_119,0,0392156862745098
26,test_io.cpp_TEST_Core_InputOutput_misc_523,0,0392156862745098
26,test_io.cpp_safe_run_388,0,0392156862745098
26,test_io.cpp_TEST_Core_InputOutput_write_read_consistency_388,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_float64x2_220,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_float32x4_196,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_int64x2_183,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_uint64x2_172,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_int32x4_144,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_int16x8_90,0,0392156862745098
26,test_lpsolver.cpp_TEST_Core_LPSolver_regression_basic_44,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_uint16x8_64,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_int8x16_40,0,0392156862745098
26,test_intrin.cpp_TEST_hal_intrin_uint8x16_18,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenNonSymmetric_double3x3_520,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenNonSymmetric_float3x3_519,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenNonSymmetric_double2x2_502,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenNonSymmetric_float2x2_501,0,0392156862745098
26,test_eigen.cpp_TEST_Core_EigenSymmetric_double5x5_487,0,0392156862745098
26,test_io.cpp_safe_run_523,0,0392156862745098
26,test_lpsolver.cpp_TEST_Core_LPSolver_regression_init_unfeasible_81,0,0392156862745098
26,test_math.cpp_TEST_Core_GEMM_accuracy_2743,0,0392156862745098
26,test_mat.cpp_safe_run_1164,0,0392156862745098
26,test_math.cpp_safe_run_2742,0,0392156862745098
26,test_math.cpp_TEST_Core_DotProduct_accuracy_2742,0,0392156862745098
26,test_math.cpp_safe_run_2741,0,0392156862745098
26,test_math.cpp_TEST_Core_Determinant_accuracy_2741,0,0392156862745098
26,test_math.cpp_safe_run_2740,0,0392156862745098
26,test_math.cpp_TEST_Core_CrossProduct_accuracy_2740,0,0392156862745098
26,test_math.cpp_safe_run_2739,0,0392156862745098
26,test_math.cpp_TEST_Core_CovarMatrix_accuracy_2739,0,0392156862745098
26,test_mat.cpp_TEST_Core_Split_shape_operations_1164,0,0392156862745098
26,test_lpsolver.cpp_TEST_DISABLED_Core_LPSolver_regression_absolutely_unfeasible_96,0,0392156862745098
26,test_mat.cpp_safe_run_1163,0,0392156862745098
26,test_mat.cpp_TEST_Core_Merge_shape_operations_1163,0,0392156862745098
26,test_mat.cpp_safe_run_1161,0,0392156862745098
26,test_mat.cpp_TEST_Core_Array_basic_operations_1161,0,0392156862745098
26,test_mat.cpp_safe_run_1160,0,0392156862745098
26,test_mat.cpp_TEST_Core_Reduce_accuracy_1160,0,0392156862745098
26,test_lpsolver.cpp_TEST_Core_LPSolver_regression_cycling_126,0,0392156862745098
26,test_lpsolver.cpp_TEST_Core_LPSolver_regression_multiple_solutions_109,0,0392156862745098
26,test_arithm.cpp_OCL_OFF_cv_sqrt_src1_roi_dst1_roi_1447,0,0392156862745098
26,test_rand.cpp_TEST_Core_Rand_quality_305,0,0392156862745098
26,trace.cpp_getTraceManagerCallOnce_907,0,0392156862745098
26,ocl.cpp_resize_size_t_numDevices_5827,0,0392156862745098
26,command_line_parser.cpp_fail_110,0,0392156862745098
26,command_line_parser.cpp_parse_bool_temp_95,0,0392156862745098
26,command_line_parser.cpp_c_str_88,0,0392156862745098
26,command_line_parser.cpp_begin_79,0,0392156862745098
26,command_line_parser.cpp_transform_str_begin_str_end_str_begin_char_tolower_79,0,0392156862745098
26,command_line_parser.cpp_tolower_int_ch_75,0,0392156862745098
26,command_line_parser.cpp_substr_left_right_left_17,0,0392156862745098
26,command_line_parser.cpp_String_17,0,0392156862745098
26,command_line_parser.cpp_length_12,0,0392156862745098
26,alloc.cpp_fastFree_ptr_108,0,0392156862745098
26,ocl.cpp_getCoreTlsData_1616,0,0392156862745098
26,ocl.cpp_get_1616,0,0392156862745098
26,ocl.cpp_device_idx_1617,0,0392156862745098
26,ocl.cpp_clear_1631,0,0392156862745098
26,ocl.cpp_buf_required_1634,0,0392156862745098
26,ocl.cpp_tolower_int_ch_1695,0,0392156862745098
26,ocl.cpp_getenv_OPENCV_OPENCL_DEVICE_1702,0,0392156862745098
26,command_line_parser.cpp_cat_string_v_128,0,0392156862745098
26,command_line_parser.cpp_empty_131,0,0392156862745098
26,command_line_parser.cpp_from_str_v_type_dst_137,0,0392156862745098
26,cvstd.hpp_memcpy_allocate_len_str_cstr__pos_len_592,0,0392156862745098
26,command_line_parser.cpp_cat_string_l_226,0,0392156862745098
26,command_line_parser.cpp_split_string_l_224,0,0392156862745098
26,command_line_parser.cpp_split_string_k_i_true_222,0,0392156862745098
26,command_line_parser.cpp_split_range_string_keys_217,0,0392156862745098
26,command_line_parser.cpp_length_210,0,0392156862745098
26,command_line_parser.cpp_substr_pos_s_String_argv_length_pos_s_210,0,0392156862745098
26,cvstd.hpp_allocate_len_592,0,0392156862745098
26,cvstd.hpp_min_str_len__pos_len_583,0,0392156862745098
26,command_line_parser.cpp_compare_p2_keys_192,0,0392156862745098
26,ocl.cpp_getBoolProp_CL_DEVICE_AVAILABLE_1400,0,0392156862745098
26,ocl.cpp_getDefault_1615,0,0392156862745098
26,command_line_parser.cpp_String_argv_210,0,0392156862745098
